2025-08-12T19:47:03: 🚀 Father's MATH сервер запущен на https://localhost:443
2025-08-12T19:47:03: 📁 Корневая директория: /Users/vovkes/lesson1
2025-08-12T19:47:03: 🔒 HTTPS включен
2025-08-12T19:47:03: ⏰ Время запуска: 2025-08-12T16:47:03.750Z
2025-08-12T19:47:03: 📊 PM2 Process ID: 29854
2025-08-12T19:48:11: 2025-08-12T16:48:11.197Z - GET /
2025-08-12T19:48:11: 2025-08-12T16:48:11.221Z - GET /logo/logo1blue.png
2025-08-12T19:48:11: 2025-08-12T16:48:11.651Z - GET /favicon.ico
2025-08-12T19:48:20: 2025-08-12T16:48:20.290Z - GET /main.html
2025-08-12T19:48:20: 2025-08-12T16:48:20.332Z - GET /styles.css
2025-08-12T19:48:20: 2025-08-12T16:48:20.387Z - GET /js/model/mathFormulas.js
2025-08-12T19:48:20: 2025-08-12T16:48:20.433Z - GET /js/model/calculator.js
2025-08-12T19:48:20: 2025-08-12T16:48:20.452Z - GET /js/view/uiPanel.js
2025-08-12T19:48:20: 2025-08-12T16:48:20.458Z - GET /js/controller/mainController.js
2025-08-12T19:48:20: 2025-08-12T16:48:20.464Z - GET /js/init.js
2025-08-12T19:48:20: 2025-08-12T16:48:20.471Z - GET /js/model/templateNames.js
2025-08-12T19:48:20: 2025-08-12T16:48:20.472Z - GET /js/model/functionLibrary.js
2025-08-12T19:48:20: 2025-08-12T16:48:20.473Z - GET /js/model/templates.js
2025-08-12T19:48:20: 2025-08-12T16:48:20.476Z - GET /js/view/graphCanvas.js
2025-08-12T19:48:20: 2025-08-12T16:48:20.519Z - GET /js/app.js
2025-08-12T19:48:20: 2025-08-12T16:48:20.519Z - GET /demo.js
